"klasse","ensembl"
"GLYKO_LINKER","ENSG00000285395"
"GLYKO_LINKER","ENSG00000015532"
"GLYKO_LINKER","ENSG00000138653"
"GLYKO_LINKER","ENSG00000162040"
"GLYKO_LINKER","ENSG00000276333"
"GLYKO_LINKER","ENSG00000171004"
"GLYKO_LINKER","ENSG00000155893"
"GLYKO_LINKER","ENSG00000176022"
"GLYKO_LINKER","ENSG00000249853"
"GLYKO_LINKER","ENSG00000185352"
"GLYKO_LINKER","ENSG00000122863"
"GLYKO_LINKER","ENSG00000131873"
"GLYKO_LINKER","ENSG00000109956"
"GLYKO_LINKER","ENSG00000171310"
"GLYKO_LINKER","ENSG00000182022"
"GLYKO_LINKER","ENSG00000170891"
"GLYKO_LINKER","ENSG00000033100"
"GLYKO_LINKER","ENSG00000169826"
"GLYKO_LINKER","ENSG00000136213"
"GLYKO_LINKER","ENSG00000147119"
"GLYKO_LINKER","ENSG00000123989"
"GLYKO_LINKER","ENSG00000154080"
"GLYKO_LINKER","ENSG00000112309"
"GLYKO_LINKER","ENSG00000180767"
"GLYKO_LINKER","ENSG00000198108"
"GLYKO_LINKER","ENSG00000157593"
"GLYKO_LINKER","ENSG00000138696"
"GLYKO_LINKER","ENSG00000204217"
"GLYKO_LINKER","ENSG00000176678"
"GLYKO_LINKER","ENSG00000017427"
"GLYKO_LINKER","ENSG00000115526"
"GLYKO_LINKER","ENSG00000116199"
"GLYKO_LINKER","ENSG00000111962"
"GLYKO_LINKER","ENSG00000027847"
"GLYKO_LINKER","ENSG00000124302"
"GLYKO_LINKER","ENSG00000197093"
"GLYKO_LINKER","ENSG00000197496"
"GLYKO_LINKER","ENSG00000175229"
"GLYKO_LINKER","ENSG00000171451"
"GLYKO_LINKER","ENSG00000262102"
"GLYKO_LINKER","ENSG00000169105"
"GLYKO_LINKER","ENSG00000171302"
"GLYKO_LINKER","ENSG00000272573"
"TF_DNABINDEND","ENSG00000106624"
"TF_DNABINDEND","ENSG00000106546"
"TF_DNABINDEND","ENSG00000156150"
"TF_DNABINDEND","ENSG00000169083"
"TF_DNABINDEND","ENSG00000165462"
"TF_DNABINDEND","ENSG00000143437"
"TF_DNABINDEND","ENSG00000133794"
"TF_DNABINDEND","ENSG00000139352"
"TF_DNABINDEND","ENSG00000183734"
"TF_DNABINDEND","ENSG00000140836"
"TF_DNABINDEND","ENSG00000123268"
"TF_DNABINDEND","ENSG00000162772"
"TF_DNABINDEND","ENSG00000128272"
"TF_DNABINDEND","ENSG00000172238"
"TF_DNABINDEND","ENSG00000156273"
"TF_DNABINDEND","ENSG00000109705"
"TF_DNABINDEND","ENSG00000113916"
"TF_DNABINDEND","ENSG00000057657"
"TF_DNABINDEND","ENSG00000169594"
"TF_DNABINDEND","ENSG00000183770"
"TF_DNABINDEND","ENSG00000012048"
"TF_DNABINDEND","ENSG00000119138"
"TF_DNABINDEND","ENSG00000102554"
"TF_DNABINDEND","ENSG00000124920"
"TF_DNABINDEND","ENSG00000124813"
"TF_DNABINDEND","ENSG00000159216"
"TF_DNABINDEND","ENSG00000020633"
"TF_DNABINDEND","ENSG00000096401"
"TF_DNABINDEND","ENSG00000113722"
"TF_DNABINDEND","ENSG00000165556"
"TF_DNABINDEND","ENSG00000131264"
"TF_DNABINDEND","ENSG00000245848"
"TF_DNABINDEND","ENSG00000172216"
"TF_DNABINDEND","ENSG00000221869"
"TF_DNABINDEND","ENSG00000092067"
"TF_DNABINDEND","ENSG00000153879"
"TF_DNABINDEND","ENSG00000053254"
"TF_DNABINDEND","ENSG00000067082"
"TF_DNABINDEND","ENSG00000118260"
"TF_DNABINDEND","ENSG00000115966"
"TF_DNABINDEND","ENSG00000213676"
"TF_DNABINDEND","ENSG00000234539"
"TF_DNABINDEND","ENSG00000228628"
"TF_DNABINDEND","ENSG00000168468"
