"satz","ensembl"
"S_BIOSYN","ENSG00000104852"
"S_BIOSYN","ENSG00000077312"
"S_BIOSYN","ENSG00000131876"
"S_BIOSYN","ENSG00000125835"
"S_BIOSYN","ENSG00000125870"
"S_BIOSYN","ENSG00000124562"
"S_BIOSYN","ENSG00000167088"
"S_BIOSYN","ENSG00000100028"
"S_BIOSYN","ENSG00000182004"
"S_BIOSYN","ENSG00000139343"
"S_BIOSYN","ENSG00000143977"
"S_BIOSYN","ENSG00000128739"
"S_BIOSYN","ENSG00000159140"
"S_BIOSYN","ENSG00000096063"
"S_BIOSYN","ENSG00000135250"
"S_BIOSYN","ENSG00000138385"
"S_BIOSYN","ENSG00000168610"
"S_BIOSYN","ENSG00000109111"
"S_BIOSYN","ENSG00000156502"
"S_BIOSYN","ENSG00000101945"
"S_BIOSYN","ENSG00000273841"
"S_BIOSYN","ENSG00000276463"
"S_BIOSYN","ENSG00000166337"
"S_BIOSYN","ENSG00000120656"
"S_BIOSYN","ENSG00000059588"
"S_BIOSYN","ENSG00000139546"
"S_BIOSYN","ENSG00000005436"
"S_BIOSYN","ENSG00000139644"
"S_BIOSYN","ENSG00000164362"
"S_BIOSYN","ENSG00000116001"
"S_BIOSYN","ENSG00000141510"
"S_BIOSYN","ENSG00000211460"
"S_BIOSYN","ENSG00000116918"
"S_BIOSYN","ENSG00000160201"
"S_BIOSYN","ENSG00000212643"
"S_BIOSYN","ENSG00000114316"
"S_BIOSYN","ENSG00000184937"
"S_BIOSYN","ENSG00000168066"
"S_BIOSYN","ENSG00000125352"
"S_BIOSYN","ENSG00000163950"
"S_BIOSYN","ENSG00000198563"
"S_BIOSYN","ENSG00000237889"
"S_BIOSYN","ENSG00000225859"
"S_BIOSYN","ENSG00000235439"
"S_BIOSYN","ENSG00000225073"
