symbol,flach,saeule,osteogen,basis,im_modul,ri,markerklasse
ADD1,0.319279152673972,0.4766392489070741,0.39795920079052305,4.780833620647857,False,,
ADD3,-0.11881313411728289,-0.2288348801957536,-0.17382400715651825,6.109664710147445,False,,
ADD3-AS1,-0.9168280004149101,-1.110722817791748,-1.013775409103329,3.7435761142065176,False,,
ADGRA2,-0.1006071619909008,0.341347771359489,0.1203703046842941,4.841225709063673,False,,
ADGRA3,-0.174684112247121,-0.19593222261468224,-0.18530816743090162,5.36180141821525,False,,
ADGRB1,1.0487592353000483,0.46911526547450766,0.758937250387278,2.8856348049159255,False,,
ADGRB2,-0.04428445788019797,-0.1668439650681126,-0.10556421147415529,4.577041786866215,False,,
ADGRB3,0.9878763424090542,0.1254087704175686,0.5566425564133114,1.7434482580616706,False,,
ADGRD1,0.48931798540369,0.03542884262837509,0.26237341401603254,2.4592087443244615,False,,
ADGRE2,0.39593834557567287,-0.3891632851734119,0.003387530201130473,1.3055860998522997,False,,
ADGRE5,0.5187300465009939,-0.40656262003331545,0.056083713233839205,3.8363524495642145,False,,
ADGRF2,-0.7247802460112727,-0.8241487210589504,-0.7744644835351115,3.573318051023685,False,,
ADGRF3,-0.5179956331231077,-0.4420436283480367,-0.4800196307355722,5.335256291275241,False,,
ADGRF4,0.2551048364536992,-0.7492941605730257,-0.24709466205966324,1.701301943100354,False,,
ADGRG1,-0.25857585190150356,-0.7077194662361661,-0.48314765906883483,6.248125264701668,False,,
ADGRG2,0.9118758768738482,0.6647394343354792,0.7883076556046638,0.634863762912263,False,,
ADGRG3,1.2250755168903076,-0.42285804305999797,0.4011087369151548,1.5059188034149769,False,,
ADGRG5,0.89947863372748,-0.3956614539442659,0.2519085898916071,1.1742089697499678,False,,
ADGRG6,-1.3098741372410903,-1.026544918015559,-1.1682095276283246,5.339461879664797,False,,
ADGRG7,-0.7775107263550577,-0.30572439192116607,-0.5416175591381118,1.9203839751299958,False,,
ADGRL1,0.4310350488845751,-0.19671118564203516,0.11716193162126998,4.009465885032049,False,,
ADGRL1-AS1,-0.2945527517451634,-0.05897142519160514,-0.17676208846838426,6.524491567860847,False,,
ADGRL2,-0.0558300299117489,-0.017991198230538075,-0.03691061407114349,5.513287328186841,False,,
ADGRL3,-0.2863257792298657,0.5979152738854958,0.15579474732781506,2.071370472635923,False,,
ADGRL4,-0.43231062735404313,-0.6270486103071056,-0.5296796188305744,4.16208529133364,False,,
ADGRV1,-0.056466620281085955,-1.1166878168404901,-0.586577218560788,3.383206333284813,False,,
ADH1B,3.12309150717061,1.0774642690068794,2.100277888088745,0.9283852753989059,False,,
