symbol,delta,n_sonden,donor_konsistent
ANP32C,0.044507273333333326,1,0.0
ANP32D,-0.037035633333333325,2,0.5
ANP32E,0.0014161959999999993,5,0.4
ANPEP,-0.04750571666666667,2,0.5
ANTXR1,-0.024447443333333332,2,0.5
ANUBL1,0.0007922133333333343,1,0.0
ANXA1,0.007819233333333342,1,0.0
ANXA11,0.001893336666666666,2,0.0
ANXA13,0.02811877166666668,2,0.0
ANXA2,-0.02420618833333333,2,0.5
ANXA3,-0.2026369,1,1.0
ANXA4,-0.05490723333333333,2,0.5
ANXA5,0.0028840766666666682,2,1.0
ANXA6,-0.032913566666666665,2,1.0
ANXA7,-0.08938740333333334,2,0.5
ANXA8,-0.01582308333333334,2,0.5
ANXA9,0.003454283333333346,2,0.5
AOAH,-0.04648686666666665,1,1.0
AOC2,-0.027732133333333346,2,0.0
AOC3,0.006025086666666668,2,0.5
AOF2,0.009839851666666665,2,0.5
AOX1,-0.002196444833333334,2,0.0
AP1B1,0.002623539833333333,2,0.0
AP1G1,-0.020104091666666667,2,1.0
AP1G2,-0.030930033333333336,2,0.5
AP1GBP1,0.0009230300000000018,2,1.0
AP1M1,-0.006605101500000002,2,0.5
AP1S1,-0.0025943949999999993,2,0.5
AP1S2,-0.03644222500000001,2,1.0
AP1S3,-0.0077058983333333315,2,1.0
AP2A2,-0.022837493333333327,2,0.5
AP2B1,-0.007106798833333333,2,0.5
AP2M1,-0.001753596666666653,2,0.0
AP2S1,-0.004371511666666678,2,0.0
AP3B1,-0.030094480833333336,2,1.0
AP3B2,-0.0006704483333333402,2,0.5
AP3D1,0.007692428333333331,2,0.0
AP3M2,0.0007507185000000001,2,0.5
AP3S1,-0.016169443333333332,2,1.0
AP3S2,-0.07882383666666666,1,1.0
AP4B1,-0.000625791666666666,2,1.0
AP4M1,-0.011487461666666667,2,0.5
AP4S1,-0.06103167666666667,2,0.5
APBA1,0.0010270674999999993,4,0.25
APBA2,-0.028085550000000008,4,0.25
APBA2BP,-0.004999332499999999,2,0.5
APBA3,-0.07914806666666667,1,0.0
APBB1,-0.012792663499999999,2,1.0
APBB2,0.004081716666666666,1,0.0
APBB3,-0.0100115605,2,0.5
APC,-0.007611426416666666,4,0.5
APC2,-0.017600841666666665,2,0.0
APCDD1,0.008074976666666666,2,0.0
APCS,-0.016569916666666674,2,0.0
APEG1,-0.021692500000000003,2,0.5
APEH,0.03191719666666667,2,0.5
APEX1,-0.005897213333333332,2,0.5
APEX2,0.06128915833333334,2,0.0
APH1B,-0.01686740866666667,2,1.0
API5,0.008501134999999998,2,0.5
APIN,0.026951166666666675,1,0.0
APIP,-0.0060770233333333305,2,0.5
APITD1,-0.02359046666666668,1,0.0
APLP1,0.011952211666666681,2,0.5
APLP2,0.0007405433333333342,2,0.5
APOA1,0.008713416666666678,2,0.0
APOA1BP,0.005989611666666666,2,0.0
APOA2,-0.07968976666666666,2,1.0
APOA4,0.011420050000000001,2,0.5
APOA5,0.006065183333333318,2,0.0
APOB,-0.015805396666666666,2,0.0
APOBEC1,-0.07634058333333332,2,1.0
APOBEC2,-0.020765188333333337,2,0.5
APOBEC3A,0.007143799999999996,1,0.0
APOBEC3B,-0.011058023333333332,1,0.0
APOBEC3C,-0.022216980000000008,1,1.0
APOBEC3G,-0.023565529999999994,2,0.5
APOBEC4,-0.04806641666666668,2,0.5
APOC1,0.024985800000000002,2,0.5
APOC2,-0.08877990000000002,2,0.0
APOC3,0.020563183333333367,2,0.5
APOC4,-0.05435566666666667,1,0.0
APOD,-0.027864193333333332,2,0.5
APOE,-0.019177008333333335,2,0.5
APOH,-0.10378275000000001,2,1.0
APOL1,-0.006600909999999985,2,0.0
APOL3,-0.06725203333333334,1,1.0
APOL5,-0.12574233333333332,1,0.0
APOL6,-0.015163676666666667,2,0.5
APOLD1,0.04806361666666666,2,0.5
APOM,0.05258261666666663,2,0.5
APP,-0.142144725,2,1.0
APPBP1,-0.0053896799999999965,2,0.0
APPBP2,-0.004821891666666668,2,0.5
APPL,-0.00046859833333333373,2,0.0
APR-2,-0.03420213333333333,2,0.5
APRIN,0.00854385,1,1.0
APRT,-0.01172631666666667,2,0.5
APS,0.007059950000000009,2,0.0
APTX,-0.016952693333333334,2,1.0
APXL,0.021164483333333328,1,0.0
APXL2,-0.05650505,2,0.5
AQP1,-0.05982916666666666,2,0.0
AQP10,0.024576114999999996,2,0.0
AQP11,-0.000493043333333334,2,0.0
AQP12A,-0.01021813333333336,2,0.5
AQP2,0.00587838333333331,2,1.0
AQP3,-0.03412166166666667,2,1.0
AQP4,-0.03592593333333337,2,0.0
AQP5,0.02040827499999999,2,0.0
